4,direct,~에게 길을 가리키다,,,,,,
4,disturbing,방해하는,,,,,,
4,draw on,"~을 이용하다, ~에 의지하다",,,,,,
4,duplicate,사본,,,,,,
4,eminent,"저명한, 탁월한",,,,,,
4,endeavor,"노력하다, 애쓰다",,,,,,
4,engage,"종사하다, 관여하다",,,,,,
4,execute,"수행하다, 실행하다",,,,,,
4,foster,"촉진하다, 육성하다",,,,,,
4,friction,"불화, 마찰",,,,,,
4,get along with,~와 사이좋게 지내다,,,,,,
4,hardly,거의 ~ 하지 않다,,,,,,
4,insubordinate,"반항하는, 복종하지 않는",,,,,,
4,intention,"의지, 의향",,,,,,
4,lax,"(행동 등이) 규율에 못 미치는, 느슨한",,,,,,
4,malign,"~을 헐뜯다, 중상하다",,,,,,
4,neutrality,"중립성, 중립",,,,,,
4,occasionally,"때때로, 가끔",,,,,,
4,personnel,직원,,,,,,
4,procrastinate,꾸물거리다,,,,,,
4,respectful,"정중한, 존중하는",,,,,,
4,respective,"각각의, 저마다의",,,,,,
4,responsible,"책임이 있는, 책임져야 할",,,,,,
4,routinely,"정기적으로, 일상적으로",,,,,,
4,subsequent,그 이후의,,,,,,
4,transform,"바꾸다, 변모시키다",,,,,,
4,undertake,떠맡다,,,,,,
4,voluntarily,자발적으로,,,,,,
4,widely,널리,,,,,,
5,accessible,출입할 수 있는; 이용할 수 있는,,,,,,
5,accidentally,"우연히, 뜻하지 않게",,,,,,
5,advisable,"바람직한, 합당한",,,,,,
5,aggravate,악화시키다,,,,,,
5,announcement,"공고, 발표",,,,,,
5,apparently,"보기에 ~ 한듯한, 외관상으로는",,,,,,
5,aspect,"관점, 국면",,,,,,
5,aware,"알고 있는, 인식하고 있는",,,,,,
5,compliance,준수,,,,,,
5,concered,"염려하는, 걱정하는; 관련된",,,,,,
5,contingency,"불의의 사태, 뜻밖의 일",,,,,,
5,demonstrate,증명하다; 설명하다,,,,,,
5,divide,나누다,,,,,,
5,embrace,"받아들이다, 포용하다",,,,,,
5,evacuate,대피하다,,,,,,
5,expertise,전문적 기술,,,,,,
5,extended,"연장한, 장기간에 걸친",,,,,,
5,face,직면하다,,,,,,
5,failure,"고장, 파손",,,,,,
5,follow,~을 따라가다,,,,,,
5,freedback,"의견, 반응",,,,,,
5,implement,"실행하다, 실시하다",,,,,,
5,inform,~에게 알리다,,,,,,
5,instead of,~ 대신에,,,,,,
5,interruption,"중단, 방해",,,,,,
5,make sure,확인하다,,,,,,
5,matter,문제,,,,,,
5,outstanding,우수한; 미결제된,,,,,,
5,privilege,"특원, 특전",,,,,,
5,promptly,즉시; 정각에,,,,,,
5,realistically,현실적으로,,,,,,
5,remainder,나머지,,,,,,
5,rush,서두르다,,,,,,
5,sign out,서명하여 외출을 기록하다,,,,,,
5,sophisticated,"정교한, 복잡한; 세련된",,,,,,
5,speak,이야기하다,,,,,,
5,take on,"(역할, 일을)떠맡다",,,,,,
5,timely,"시기적절한, 때를 맞춘",,,,,,
5,trigger,"야기하다, 유발하다",,,,,,
5,violation,"위반, 위배",,,,,,
6,abate,"누그러지다, 약해지다, 감소하다",,,,,,
6,adversity,"역격, 불운",,,,,,
6,ailing,"병든, 괴로워하는",,,,,,
6,assert,"단언하다, 주장하다",,,,,,
6,boost,"부양하다, 상승시키다",,,,,,
6,brisk,"호황의, 활발한",,,,,,
6,collapse,붕괴,,,,,,
6,commerce,"통상, 교역",,,,,,
6,consequence,결과,,,,,,
6,depression,불황,,,,,,
6,deteriorate,"악화되다, 나빠지다",,,,,,
6,dramatically,극적으로,,,,,,
6,dwindle,"줄어들다, 감소되다",,,,,,
6,economical,"경제적인, 절약되는",,,,,,
6,entail,"~을 수반하다, ~을 유발하다",,,,,,
6,failrly,"상당히, 꽤",,,,,,
6,fall,하락하다,,,,,,
6,flourish,"번창하다, 융성하다",,,,,,
6,impede,"저해하다, 방해하다",,,,,,
6,implication,"영향, 밀접한 관계",,,,,,
6,indicator,"지표, 지수",,,,,,
6,industrial,산업의,,,,,,
6,lead,"이끌다, 지휘하다;(어떤결과에)이르다",,,,,,
6,likely,~할 것 같은,,,,,,
6,overall,"전반적인, 총체적인",,,,,,
6,promising,"유망한, 전망이 좋은",,,,,,
6,prospect,"전망, 예상",,,,,,
6,prosperity,번영,,,,,,
6,rapidly,"급속히, 빨리",,,,,,
6,ratio,비율,,,,,,
6,remain,여전히 ~한 상태이다; 아직 ~해야한다,,,,,,
6,skyrocket,(가격 등이)치솟다,,,,,,
6,slowdown,경기후퇴,,,,,,
6,soar,"(물가 등이) 폭등하다, 높이 치솟다",,,,,,
6,stagnant,"침체된, 불경기의",,,,,,
6,supplement,"보완하다, 보충하다",,,,,,
6,thrive,"번영하다, 성공하다",,,,,,
6,unstable,"불안정한, 변하기 쉬운",,,,,,
6,volatile,(가격 등이)심하게 변동하는,,,,,,
6,wane,"감소, 쇠퇴",,,,,,
7,admission,입장,,,,,,
7,advocate,옹호자,,,,,,
7,alumni,동창생들,,,,,,
7,anonymous,"익명의, 이름을 모르는",,,,,,
7,appear,"나타나다, 출현하다",,,,,,
7,beneficial,"유익한, 이로운",,,,,,
7,care for,~을 돌보다,,,,,,
7,celebrity,"유명인사, 명사",,,,,,
7,censorship,검열,,,,,,
7,collection,"수집물, 소장품; 수금,징수",,,,,,
7,come in + 서수,~위로 입상하다,,,,,,
7,contestant,"경기자, 경쟁자",,,,,,
7,contributor,"기고가, 공헌자",,,,,,
7,current,현재의,,,,,,
7,defy,저항하다,,,,,,
7,donation,"기증, 기부",,,,,,
7,edition,판,,,,,,
7,enlightening,"계몽적인, 가르침을 주는",,,,,,
7,enthusiastically,열광적으로,,,,,,
7,exhibition,전시회,,,,,,
7,fascinating,"매혹적인, 황홀한",,,,,,
7,have yet to do,"아직~하고있지 않다, 아직 ~ 해야 하다",,,,,,
7,improvise,"즉흥 연주를 하다, 즉석에서 만들다",,,,,,
7,informative,"유익한, 정보를 주는",,,,,,
7,issue,"제 ~호, 문제, 쟁점",,,,,,
7,lend,빌려주다,,,,,,
